task_id,bank,topology,difficulty_tier,split,track,task_family,source,input_min,input_max,input_domain,output_voltage,output_power,efficiency_target,ripple_or_quality_target,component_catalog_version,schema_version,path
topology_boost_easy_24v0p5a,topology_full,boost,easy,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,12,18,dc,24.0,12.0,88.0,65.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_easy_24v0p5a.yaml
topology_boost_easy_24v0p7a,topology_full,boost,easy,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,9,16,dc,24.0,16.8,87.0,60.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_easy_24v0p7a.yaml
topology_boost_easy_9v1a,topology_full,boost,easy,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,3.3,5,dc,9.0,9.0,84.0,55.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_easy_9v1a.yaml
topology_boost_hard_36v1p3a,topology_full,boost,hard,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,10,15,dc,36.0,46.8,90.0,45.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_hard_36v1p3a.yaml
topology_boost_hard_48v0p8a,topology_full,boost,hard,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,7,12,dc,48.0,38.4,88.5,50.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_hard_48v0p8a.yaml
topology_boost_medium_28v1a,topology_full,boost,medium,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,10,18,dc,28.0,28.0,88.0,55.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_medium_28v1a.yaml
topology_boost_medium_36v1a,topology_full,boost,medium,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,12,24,dc,36.0,36.0,89.0,60.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_medium_36v1a.yaml
topology_boost_medium_48v0p6a,topology_full,boost,medium,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,18,32,dc,48.0,28.8,89.0,70.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_medium_48v0p6a.yaml
topology_boost_medium_60v0p5a,topology_full,boost,medium,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,24,36,dc,60.0,30.0,90.0,75.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_medium_60v0p5a.yaml
topology_boost_stress_36v1p5a,topology_full,boost,stress,public_dev,nonisolated_boost_design,nonisolated_dcdc,pebench_multitopology_v1,5,8,dc,36.0,54.0,86.5,38.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_boost_stress_36v1p5a.yaml
topology_buck_boundary_12v3a,topology_full,buck,boundary,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,14,18,dc,12.0,36.0,89.5,25.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boundary_12v3a.yaml
topology_buck_easy_12v2a,topology_full,buck,easy,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,18,24,dc,12.0,24.0,90.0,45.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_easy_12v2a.yaml
topology_buck_easy_24v1p2a,topology_full,buck,easy,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,36,54,dc,24.0,28.8,91.0,55.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_easy_24v1p2a.yaml
topology_buck_easy_3p3v4a,topology_full,buck,easy,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,18,30,dc,3.3,13.2,87.5,30.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_easy_3p3v4a.yaml
topology_buck_easy_5v3a,topology_full,buck,easy,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,10,15,dc,5.0,15.0,88.0,35.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_easy_5v3a.yaml
topology_buck_hard_12v5a,topology_full,buck,hard,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,42,58,dc,12.0,60.0,92.0,30.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_hard_12v5a.yaml
topology_buck_hard_5v8a,topology_full,buck,hard,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,36,48,dc,5.0,40.0,90.0,25.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_hard_5v8a.yaml
topology_buck_medium_15v2p5a,topology_full,buck,medium,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,28,40,dc,15.0,37.5,91.0,40.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_medium_15v2p5a.yaml
topology_buck_medium_18v3a,topology_full,buck,medium,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,24,40,dc,18.0,54.0,91.0,45.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_medium_18v3a.yaml
topology_buck_medium_5v6a,topology_full,buck,medium,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,36,60,dc,5.0,30.0,89.0,28.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_medium_5v6a.yaml
topology_buck_medium_9v4a,topology_full,buck,medium,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,18,32,dc,9.0,36.0,90.0,45.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_medium_9v4a.yaml
topology_buck_stress_1p8v10a,topology_full,buck,stress,public_dev,nonisolated_buck_design,nonisolated_dcdc,pebench_multitopology_v1,24,36,dc,1.8,18.0,87.0,18.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_stress_1p8v10a.yaml
topology_buck_boost_boundary_12v3a,topology_full,buck_boost,boundary,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,10,14,dc,12.0,36.0,86.5,35.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_boundary_12v3a.yaml
topology_buck_boost_easy_12v1p5a,topology_full,buck_boost,easy,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,9,18,dc,12.0,18.0,86.0,60.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_easy_12v1p5a.yaml
topology_buck_boost_easy_15v1p5a,topology_full,buck_boost,easy,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,10,20,dc,15.0,22.5,86.5,60.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_easy_15v1p5a.yaml
topology_buck_boost_easy_24v1a,topology_full,buck_boost,easy,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,18,30,dc,24.0,24.0,87.0,65.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_easy_24v1a.yaml
topology_buck_boost_easy_9v2a,topology_full,buck_boost,easy,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,6,14,dc,9.0,18.0,85.0,55.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_easy_9v2a.yaml
topology_buck_boost_hard_18v2p5a,topology_full,buck_boost,hard,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,6,36,dc,18.0,45.0,88.0,45.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_hard_18v2p5a.yaml
topology_buck_boost_hard_24v2a,topology_full,buck_boost,hard,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,9,36,dc,24.0,48.0,89.0,45.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_hard_24v2a.yaml
topology_buck_boost_medium_12v2a,topology_full,buck_boost,medium,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,6,24,dc,12.0,24.0,86.5,55.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_medium_12v2a.yaml
topology_buck_boost_medium_18v1p5a,topology_full,buck_boost,medium,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,12,30,dc,18.0,27.0,87.0,60.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_medium_18v1p5a.yaml
topology_buck_boost_medium_24v1p2a,topology_full,buck_boost,medium,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,18,36,dc,24.0,28.8,88.0,60.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_medium_24v1p2a.yaml
topology_buck_boost_medium_36v1a,topology_full,buck_boost,medium,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,24,60,dc,36.0,36.0,89.0,70.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_medium_36v1a.yaml
topology_buck_boost_stress_24v3a,topology_full,buck_boost,stress,public_dev,nonisolated_buck_boost_design,nonisolated_dcdc,pebench_multitopology_v1,8,60,dc,24.0,72.0,88.5,40.0,pebench-topology-full-v1.0,pebench_topology_full_v1.0,pebench/tasks/topology_full/topology_buck_boost_stress_24v3a.yaml
